,team,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,spread,def_rush_att,def_rush_tds,off_rush_att,off_rush_tds,def_pass_cmp,def_pass_att,def_pass_tds,def_pass_ints,off_pass_cmp,off_pass_att,off_pass_tds,off_pass_ints,def_sacks,def_sack_yds,tm_penalty,tm_penalty_yds,opp_penalty,opp_penalty_yds
75,chiefs,3,Sun,September 25,away,colts,17,20,20,36,257,1,1,1,5,7.3,6.9,55.6,75.8,23,58,2.5,1,1,2,3,10,1,2,26:28,3,2-1,20,2.0,19,259,177,82,1.0,1.78,7.1,-13.31,-5.5,27,0,23,1,27,37,2,0,20,36,1,1,5,45,6,45,4,34
76,vikings,3,Sun,September 25,home,lions,28,24,24,41,250,2,0,1,10,6.3,6.0,58.5,92.5,25,123,4.9,2,0,2,2,9,1,2,25:56,3,2-1,30,1.0,23,416,277,139,1.0,11.58,-8.25,1.93,6.0,35,2,25,2,25,41,1,1,24,41,2,0,0,0,3,15,7,59
77,lions,3,Sun,September 25,away,vikings,24,28,25,41,277,1,1,0,0,6.8,6.8,61.0,79.0,35,139,4.0,2,1,3,3,16,4,6,34:04,3,1-2,23,1.0,30,373,250,123,1.0,8.25,-11.58,-1.93,-6.0,25,2,35,2,24,41,2,0,25,41,1,1,1,10,7,59,3,15
78,patriots,3,Sun,September 25,home,ravens,26,37,22,32,302,0,3,3,19,10.0,8.6,68.8,59.6,28,145,5.2,3,2,2,2,9,1,2,29:24,3,1-2,22,4.0,19,394,206,188,2.0,3.5,-11.67,-3.18,2.5,26,1,28,3,18,29,4,1,22,32,0,3,4,12,3,16,2,10
79,ravens,3,Sun,September 25,away,patriots,37,26,18,29,206,4,1,4,12,7.5,6.2,62.1,108.6,26,188,7.2,1,1,1,5,11,0,0,30:36,3,2-1,19,2.0,22,447,302,145,4.0,11.67,-3.5,3.18,-2.5,28,3,26,1,22,32,0,3,18,29,4,1,3,19,2,10,3,16
80,titans,3,Sun,September 25,home,raiders,24,22,19,27,252,1,1,1,12,9.8,9.0,70.4,96.5,27,109,4.0,2,1,1,5,10,0,1,29:15,3,1-2,19,1.0,24,396,300,96,1.0,9.1,-9.09,4.28,2.0,19,0,27,2,27,45,2,1,19,27,1,1,1,7,7,85,6,44
81,raiders,3,Sun,September 25,away,titans,22,24,27,45,300,2,1,1,7,6.8,6.5,60.0,85.4,19,96,5.1,0,3,3,1,12,3,3,30:45,3,0-3,24,1.0,19,361,252,109,1.0,9.09,-9.1,-4.28,-2.0,27,2,19,0,19,27,1,1,27,45,2,1,1,12,6,44,7,85
82,commanders,3,Sun,September 25,home,eagles,8,24,25,43,153,0,0,9,58,4.9,2.9,58.1,65.4,22,87,4.0,1,0,0,6,17,0,2,32:54,3,1-2,20,1.0,21,400,328,72,,-18.29,-9.65,8.92,6.0,30,0,22,1,22,35,3,0,25,43,0,0,3,12,4,48,5,52
83,eagles,3,Sun,September 25,away,commanders,24,8,22,35,328,3,0,3,12,9.7,8.6,62.9,122.1,30,72,2.4,0,1,1,5,15,2,3,27:06,3,3-0,21,,20,240,153,87,1.0,9.65,18.29,-8.92,-6.0,22,1,30,0,25,43,0,0,22,35,3,0,9,58,5,52,4,48
84,chargers,3,Sun,September 25,home,jaguars,10,38,25,45,286,1,1,1,11,6.6,6.2,55.6,73.0,12,26,2.2,0,1,1,5,13,0,2,21:33,3,1-2,16,2.0,25,413,262,151,,-10.35,-18.06,2.6,3.0,36,1,12,0,28,39,3,0,25,45,1,1,0,0,7,54,2,10
85,jaguars,3,Sun,September 25,away,chargers,38,10,28,39,262,3,0,0,0,6.7,6.7,71.8,115.5,36,151,4.2,1,3,3,8,15,2,3,38:27,3,2-1,25,,16,312,286,26,2.0,18.06,10.35,-2.6,-3.0,12,0,36,1,25,45,1,1,28,39,3,0,1,11,2,10,7,54
86,seahawks,3,Sun,September 25,home,falcons,23,27,32,44,308,2,1,2,17,7.4,6.7,72.7,97.5,23,112,4.9,0,3,3,9,17,2,3,31:46,3,1-2,23,1.0,24,386,207,179,2.0,15.09,-20.84,-1.2,1.0,31,2,23,0,13,20,1,1,32,44,2,1,3,22,6,47,2,15
87,falcons,3,Sun,September 25,away,seahawks,27,23,13,20,207,1,1,3,22,11.5,9.0,65.0,95.2,31,179,5.8,2,2,2,4,7,0,0,28:14,3,1-2,24,2.0,23,420,308,112,1.0,20.84,-15.09,1.2,-1.0,23,0,31,2,32,44,2,1,13,20,1,1,2,17,2,15,6,47
88,cardinals,3,Sun,September 25,home,rams,12,20,37,58,295,0,0,2,19,5.4,4.9,63.8,76.4,21,70,3.3,0,4,4,6,18,4,5,33:56,3,1-2,23,,15,339,239,100,1.0,0.8,-5.31,-5.72,3.5,20,2,21,0,18,25,0,0,37,58,0,0,1,10,6,50,6,35
89,rams,3,Sun,September 25,away,cardinals,20,12,18,25,239,0,0,1,10,10.0,9.2,72.0,101.9,20,100,5.0,2,2,2,3,8,0,0,26:04,3,2-1,15,1.0,23,365,295,70,,5.31,-0.8,5.72,-3.5,21,0,20,2,37,58,0,0,18,25,0,0,2,19,6,35,6,50
90,buccaneers,3,Sun,September 25,home,packers,12,14,31,42,251,1,0,3,20,6.5,5.6,73.8,96.4,14,34,2.4,0,2,2,2,11,1,1,26:35,3,2-1,19,2.0,14,315,248,67,2.0,-9.14,4.08,0.3,1.0,25,0,14,0,27,35,2,1,31,42,1,0,1,7,6,40,8,65
91,packers,3,Sun,September 25,away,buccaneers,14,12,27,35,248,2,1,1,7,7.3,6.9,77.1,103.0,25,67,2.7,0,0,0,6,15,0,0,33:25,3,2-1,14,2.0,19,285,251,34,2.0,-4.08,9.14,-0.3,-1.0,14,0,25,0,31,42,1,0,27,35,2,1,3,20,8,65,6,40
92,broncos,3,Sun,September 25,home,49ers,11,10,20,33,160,0,0,4,24,5.6,4.3,60.6,72.8,33,101,3.1,1,1,2,6,19,0,0,34:29,3,2-1,14,,13,267,179,88,3.0,-13.59,16.39,1.26,1.5,19,0,33,1,18,29,1,1,20,33,0,0,4,32,5,30,7,40
93,49ers,3,Sun,September 25,away,broncos,10,11,18,29,179,1,1,4,32,7.3,5.4,62.1,76.7,19,88,4.6,0,1,1,1,10,0,0,25:31,3,1-2,13,3.0,14,261,160,101,,-16.39,13.59,-1.26,-1.5,33,1,19,0,20,33,0,0,18,29,1,1,4,24,7,40,5,30
94,giants,3,Mon,September 26,home,cowboys,16,23,20,37,169,0,1,5,27,5.3,4.0,54.1,54.9,25,167,6.7,1,3,4,3,11,0,1,27:18,3,2-1,22,1.0,23,391,215,176,,-0.51,-10.78,0.01,1.0,30,1,25,1,21,31,1,0,20,37,0,1,0,0,8,57,8,70
95,cowboys,3,Mon,September 26,away,giants,23,16,21,31,215,1,0,0,0,6.9,6.9,67.7,98.2,30,176,5.9,1,3,4,5,13,1,1,32:42,3,2-1,23,,22,336,169,167,1.0,10.78,0.51,-0.01,-1.0,25,1,30,1,20,37,0,1,21,31,1,0,5,27,8,70,8,57
96,saints,4,Sun,October 2,home,vikings,25,28,20,28,227,1,0,2,9,8.4,7.6,71.4,107.3,27,111,4.1,2,1,2,4,10,1,1,27:47,4,1-3,19,2.0,23,344,263,81,1.0,7.36,-6.41,-2.69,3.5,25,1,27,2,26,39,1,1,20,28,1,0,3,23,10,102,5,35
97,vikings,4,Sun,October 2,away,saints,28,25,26,39,263,1,1,3,23,7.3,6.3,66.7,83.6,25,81,3.2,1,5,5,5,14,1,1,32:13,4,3-1,23,1.0,19,338,227,111,2.0,6.41,-7.36,2.69,-3.5,27,2,25,1,20,28,1,0,26,39,1,1,2,9,5,35,10,102
98,falcons,4,Sun,October 2,home,browns,23,20,7,19,131,0,1,1,8,7.3,6.6,36.8,39.6,35,202,5.8,2,3,3,3,9,0,0,24:16,4,2-2,19,1.0,22,403,226,177,2.0,5.92,-5.25,1.44,1.0,35,2,35,2,21,35,0,1,7,19,0,1,1,8,1,15,7,51
99,browns,4,Sun,October 2,away,falcons,20,23,21,35,226,0,1,1,8,6.7,6.3,60.0,67.1,35,177,5.1,2,2,2,5,14,2,3,35:44,4,2-2,22,2.0,19,333,131,202,1.0,5.25,-5.92,-1.44,-1.0,35,2,35,2,7,19,0,1,21,35,0,1,1,8,7,51,1,15
100,ravens,4,Sun,October 2,home,bills,20,23,20,29,134,1,2,2,10,5.0,4.3,69.0,61.6,33,162,4.9,1,2,2,6,13,1,2,38:10,4,2-2,22,2.0,22,326,201,125,2.0,-2.66,-2.1,1.69,3.0,25,1,33,1,19,36,1,1,20,29,1,2,1,12,9,70,4,31
101,bills,4,Sun,October 2,away,ravens,23,20,19,36,201,1,1,1,12,5.9,5.4,52.8,67.0,25,125,5.0,1,3,3,4,11,1,1,21:50,4,3-1,22,2.0,22,296,134,162,2.0,2.1,2.66,-1.69,-3.0,33,1,25,1,20,29,1,2,19,36,1,1,2,10,4,31,9,70
102,giants,4,Sun,October 2,home,bears,20,12,9,16,71,0,1,1,11,5.1,4.2,56.3,41.4,44,262,6.0,2,2,3,6,14,0,0,31:17,4,3-1,21,2.0,16,304,155,149,3.0,9.33,6.69,-7.79,3.0,32,0,44,2,11,22,0,0,9,16,0,1,6,19,7,55,5,65
103,bears,4,Sun,October 2,away,giants,12,20,11,22,155,0,0,6,19,7.9,5.5,50.0,73.1,32,149,4.7,0,4,4,5,15,0,0,28:43,4,2-2,16,3.0,21,333,71,262,2.0,-6.69,-9.33,7.79,-3.0,44,2,32,0,9,16,0,1,11,22,0,0,1,11,5,65,7,55
104,colts,4,Sun,October 2,home,titans,17,24,27,37,327,2,1,3,29,9.6,8.2,73.0,106.5,23,38,1.7,0,1,2,7,13,0,0,33:57,4,1-2-1,21,3.0,19,243,116,127,,3.36,-5.33,-6.98,3.5,28,1,23,0,17,21,2,0,27,37,2,1,3,21,7,50,6,40
105,titans,4,Sun,October 2,away,colts,24,17,17,21,116,2,0,3,21,6.5,4.8,81.0,121.4,28,127,4.5,1,1,1,5,12,0,0,26:03,4,2-2,19,,21,365,327,38,3.0,5.33,-3.36,6.98,-3.5,23,0,28,1,27,37,2,1,17,21,2,0,3,29,6,40,7,50
106,cowboys,4,Sun,October 2,home,commanders,25,10,15,27,217,2,0,1,6,8.3,7.8,55.6,106.6,29,62,2.1,0,4,4,5,15,0,0,26:54,4,3-1,15,,17,297,155,142,2.0,4.19,13.42,-3.3,3.0,27,0,29,0,25,42,1,2,15,27,2,0,2,15,4,20,11,136
107,commanders,4,Sun,October 2,away,cowboys,10,25,25,42,155,1,2,2,15,4.0,3.5,59.5,55.2,27,142,5.3,0,1,1,5,15,0,2,33:06,4,1-3,17,2.0,15,279,217,62,,-13.42,-4.19,3.3,-3.0,29,0,27,0,15,27,2,0,25,42,1,2,1,6,11,136,4,20
108,lions,4,Sun,October 2,home,seahawks,45,48,27,40,375,4,1,1,9,9.6,9.1,67.5,120.3,25,145,5.8,2,1,1,4,10,3,3,26:54,4,1-3,27,2.0,27,555,320,235,1.0,22.12,-32.93,3.99,3.5,33,3,25,2,23,30,2,0,27,40,4,1,0,0,8,59,11,76
109,seahawks,4,Sun,October 2,away,lions,48,45,23,30,320,2,0,0,0,10.7,10.7,76.7,132.6,33,235,7.1,3,2,3,9,12,0,0,33:06,4,2-2,27,1.0,27,520,375,145,2.0,32.93,-22.12,-3.99,-3.5,25,2,33,3,27,40,4,1,23,30,2,0,1,9,11,76,8,59
110,texans,4,Sun,October 2,home,chargers,24,34,26,35,215,2,2,4,31,7.0,5.5,74.3,84.8,14,131,9.4,1,1,2,4,12,0,2,28:21,4,0-3-1,16,2.0,22,419,338,81,1.0,2.14,-15.96,4.62,6.0,27,2,14,1,27,39,2,0,26,35,2,2,1,2,9,67,6,61
111,chargers,4,Sun,October 2,away,texans,34,24,27,39,338,2,0,1,2,8.7,8.5,69.2,113.0,27,81,3.0,2,2,2,8,16,1,2,31:39,4,2-2,22,1.0,16,346,215,131,2.0,15.96,-2.14,-4.62,-6.0,14,1,27,2,26,35,2,2,27,39,2,0,4,31,6,61,9,67
112,eagles,4,Sun,October 2,home,jaguars,29,21,16,25,191,0,1,2,13,8.2,7.1,64.0,70.6,50,210,4.2,4,1,1,4,15,3,5,39:51,4,4-0,25,1.0,13,219,148,71,5.0,-0.18,11.06,-1.97,6.5,19,0,50,4,11,23,2,1,16,25,0,1,4,26,3,20,4,38
113,jaguars,4,Sun,October 2,away,eagles,21,29,11,23,148,2,1,4,26,7.6,5.5,47.8,79.6,19,71,3.7,0,0,0,2,7,0,1,20:09,4,2-2,13,5.0,25,401,191,210,1.0,-11.06,0.18,1.97,-6.5,50,4,19,0,16,25,0,1,11,23,2,1,2,13,4,38,3,20
114,steelers,4,Sun,October 2,home,jets,20,24,17,26,178,0,4,3,26,7.8,6.1,65.4,45.5,31,119,3.8,2,2,2,6,12,1,1,30:01,4,1-3,20,4.0,19,348,250,98,2.0,-2.55,1.46,-2.91,3.5,29,1,31,2,19,37,2,2,17,26,0,4,1,4,8,55,7,64
115,jets,4,Sun,October 2,away,steelers,24,20,19,37,250,2,2,1,4,6.9,6.6,51.4,68.5,29,98,3.4,1,1,1,6,15,1,1,29:59,4,2-2,19,2.0,20,297,178,119,4.0,-1.46,2.55,2.91,-3.5,31,2,29,1,17,26,0,4,19,37,2,2,3,26,7,64,8,55
116,panthers,4,Sun,October 2,home,cardinals,16,26,22,36,180,1,2,2,17,5.5,4.7,61.1,60.0,13,40,3.1,0,1,1,2,10,1,3,21:25,4,1-3,11,3.0,20,338,206,132,1.0,-19.54,6.14,1.9,1.0,37,1,13,0,23,32,2,1,22,36,1,2,1,1,6,76,7,61
117,cardinals,4,Sun,October 2,away,panthers,26,16,23,32,206,2,1,1,1,6.5,6.2,71.9,96.6,37,132,3.6,1,2,2,6,15,0,2,38:35,4,2-2,20,1.0,11,220,180,40,3.0,-6.14,19.54,-1.9,-1.0,13,0,37,1,22,36,1,2,23,32,2,1,2,17,7,61,6,76
118,raiders,4,Sun,October 2,home,broncos,32,23,21,34,173,0,0,2,15,5.5,4.8,61.8,74.8,38,212,5.6,2,4,4,7,14,0,0,34:52,4,1-3,25,,12,299,214,85,1.0,12.04,6.65,-6.95,2.5,20,1,38,2,17,25,2,0,21,34,0,0,3,23,4,25,7,50
119,broncos,4,Sun,October 2,away,raiders,23,32,17,25,214,2,0,3,23,9.5,7.6,68.0,121.1,20,85,4.3,1,1,1,3,11,1,2,25:08,4,2-2,12,1.0,25,385,173,212,,-6.65,-12.04,6.95,-2.5,38,2,20,1,21,34,0,0,17,25,2,0,2,15,7,50,4,25
120,packers,4,Sun,October 2,home,patriots,27,24,21,35,244,2,1,1,7,7.2,6.8,60.0,88.3,35,199,5.7,1,2,2,6,14,1,1,36:49,4,3-1,24,2.0,17,271,104,167,1.0,5.17,2.0,-2.64,9.5,33,1,35,1,15,21,1,0,21,35,2,1,4,32,4,40,7,75
121,patriots,4,Sun,October 2,away,packers,24,27,15,21,104,1,0,4,32,6.5,4.2,71.4,98.1,33,167,5.1,1,1,1,3,11,0,0,33:11,4,1-3,17,1.0,24,443,244,199,2.0,-2.0,-5.17,2.64,-9.5,35,1,33,1,21,35,2,1,15,21,1,0,1,7,7,75,4,40
122,buccaneers,4,Sun,October 2,home,chiefs,31,41,39,52,373,3,0,1,12,7.4,7.0,75.0,113.7,6,3,0.5,1,1,1,6,10,0,0,21:22,4,2-2,27,2.0,27,417,228,189,1.0,14.15,-17.12,-5.33,1.0,37,2,6,1,23,37,3,1,39,52,3,0,3,21,5,40,4,32
123,chiefs,4,Sun,October 2,away,buccaneers,41,31,23,37,228,3,1,3,21,6.7,5.7,62.2,95.3,37,189,5.1,2,2,2,12,17,0,1,38:38,4,3-1,27,1.0,27,376,373,3,2.0,17.12,-14.15,5.33,-1.0,6,1,37,2,39,52,3,0,23,37,3,1,1,12,4,32,5,40
124,49ers,4,Mon,October 3,home,rams,24,9,16,27,239,1,0,0,0,8.9,8.9,59.3,100.7,22,88,4.0,1,1,2,5,12,0,1,25:26,4,2-2,13,,21,257,200,57,2.0,10.05,11.56,-7.93,1.5,18,0,22,1,32,48,0,1,16,27,1,0,7,54,4,25,1,5
125,rams,4,Mon,October 3,away,49ers,9,24,32,48,200,0,1,7,54,5.3,3.6,66.7,66.3,18,57,3.2,0,3,3,5,15,2,2,34:34,4,2-2,21,2.0,13,327,239,88,,-11.56,-10.05,7.93,-1.5,22,1,18,0,16,27,1,0,32,48,0,1,0,0,1,5,4,25
126,bengals,4,Thu,September 29,home,dolphins,27,15,21,32,304,2,0,1,6,9.7,9.2,65.6,117.2,30,67,2.2,1,2,2,8,15,0,1,31:35,4,2-2,16,,20,378,293,85,2.0,9.11,-0.48,3.73,3.5,22,0,30,1,22,37,1,2,21,32,2,0,1,10,6,74,6,41
127,dolphins,4,Thu,September 29,away,bengals,15,27,22,37,293,1,2,1,10,8.2,7.7,59.5,71.1,22,85,3.9,0,3,4,2,10,0,1,28:25,4,3-1,20,2.0,16,371,304,67,,0.48,-9.11,-3.73,-3.5,30,1,22,0,21,32,2,0,22,37,1,2,1,6,6,41,6,74
128,chiefs,5,Mon,October 10,home,raiders,30,29,29,43,265,4,0,3,27,6.8,5.8,67.4,115.0,23,103,4.5,0,1,2,7,12,0,0,31:07,5,4-1,29,,18,378,223,155,,14.21,-11.65,0.35,7.0,24,1,23,0,19,30,2,0,29,43,4,0,2,18,5,72,11,99
129,raiders,5,Mon,October 10,away,chiefs,29,30,19,30,223,2,0,2,18,8.0,7.0,63.3,108.1,24,155,6.5,1,3,3,5,12,1,2,28:53,5,1-4,18,,29,368,265,103,,11.65,-14.21,-0.35,-7.0,23,0,24,1,29,43,4,0,19,30,2,0,3,27,11,99,5,72
130,broncos,5,Thu,October 6,home,colts,9,12,21,39,250,0,2,4,24,7.0,5.8,53.8,52.3,28,125,4.5,0,3,4,2,15,1,2,32:39,5,2-3,18,2.0,19,306,200,106,2.0,-11.36,14.91,-7.4,3.0,26,0,28,0,26,41,0,2,21,39,0,2,6,51,7,49,8,64
131,colts,5,Thu,October 6,away,broncos,12,9,26,41,200,0,2,6,51,6.1,4.3,63.4,54.9,26,106,4.1,0,4,4,4,16,0,0,34:48,5,2-2-1,19,2.0,18,375,250,125,2.0,-14.91,11.36,7.4,-3.0,28,0,26,0,21,39,0,2,26,41,0,2,4,24,8,64,7,49
132,packers,5,Sun,October 9,home,giants,22,27,25,39,207,2,0,2,15,5.7,5.0,64.1,94.7,20,94,4.7,0,2,2,4,10,0,1,27:49,5,3-2,22,,24,338,213,125,,5.67,-16.07,4.63,8.0,31,3,20,0,21,27,0,0,25,39,2,0,1,4,7,37,6,63
133,giants,5,Sun,October 9,away,packers,27,22,21,27,213,0,0,1,4,8.0,7.6,77.8,99.5,31,125,4.0,3,2,2,6,11,0,1,32:11,5,4-1,24,,22,301,207,94,,16.07,-5.67,-4.63,-8.0,20,0,31,3,25,39,2,0,21,27,0,0,2,15,6,63,7,37
134,buccaneers,5,Sun,October 9,home,falcons,21,15,35,52,351,1,0,0,0,6.8,6.8,67.3,92.7,23,69,3.0,1,2,2,9,16,0,1,29:26,5,3-2,26,,19,261,110,151,,13.3,-3.9,-1.34,10.0,31,1,23,1,14,25,1,0,35,52,1,0,5,37,6,45,6,55
135,falcons,5,Sun,October 9,away,buccaneers,15,21,14,25,110,1,0,5,37,5.9,3.7,56.0,80.4,31,151,4.9,1,0,1,6,14,1,1,30:34,5,2-3,19,,26,420,351,69,,3.9,-13.3,1.34,-10.0,23,1,31,1,35,52,1,0,14,25,1,0,0,0,6,55,6,45
136,bills,5,Sun,October 9,home,steelers,38,3,22,36,432,4,1,0,0,12.0,12.0,61.1,128.5,18,120,6.7,1,1,2,5,9,0,0,23:52,5,4-1,21,2.0,23,364,310,54,2.0,20.66,9.42,3.54,14.0,17,0,18,1,34,52,0,1,22,36,4,1,3,17,5,28,6,54
137,steelers,5,Sun,October 9,away,bills,3,38,34,52,310,0,1,3,17,6.3,5.6,65.4,73.4,17,54,3.2,0,1,3,5,15,0,3,36:08,5,1-4,23,2.0,21,552,432,120,2.0,-9.42,-20.66,-3.54,-14.0,18,1,17,0,22,36,4,1,34,52,0,1,0,0,6,54,5,28
138,vikings,5,Sun,October 9,home,bears,29,22,33,42,312,1,1,1,7,7.6,7.3,78.6,95.6,31,117,3.8,3,0,2,12,15,0,0,36:44,5,4-1,29,1.0,14,271,193,78,1.0,21.45,-1.82,-9.74,7.5,24,1,31,3,15,21,1,0,33,42,1,1,2,15,7,70,6,40
139,bears,5,Sun,October 9,away,vikings,22,29,15,21,193,1,0,2,15,9.9,8.4,71.4,115.8,24,78,3.3,1,3,3,4,10,1,1,23:16,5,2-3,14,1.0,29,429,312,117,1.0,1.82,-21.45,9.74,-7.5,31,3,24,1,33,42,1,1,15,21,1,0,1,7,6,40,7,70
140,browns,5,Sun,October 9,home,chargers,28,30,21,34,230,1,1,0,0,6.8,6.8,61.8,79.3,31,213,6.9,3,0,2,4,10,0,1,30:02,5,2-3,27,1.0,26,465,227,238,,16.53,-16.01,-4.92,1.0,34,2,31,3,22,34,1,0,21,34,1,1,1,1,6,65,4,17
141,chargers,5,Sun,October 9,away,browns,30,28,22,34,227,1,0,1,1,6.7,6.5,64.7,93.6,34,238,7.0,2,3,3,3,10,0,2,29:58,5,3-2,26,,27,443,230,213,1.0,16.01,-16.53,4.92,-1.0,31,3,34,2,21,34,1,1,22,34,1,0,0,0,4,17,6,65
142,patriots,5,Sun,October 9,home,lions,29,0,17,21,188,1,1,0,0,9.0,9.0,81.0,100.0,35,176,5.0,0,5,5,3,9,0,0,31:29,5,2-3,22,1.0,17,312,211,101,2.0,10.08,22.04,-3.38,3.0,27,0,35,0,19,35,0,1,17,21,1,1,2,18,6,46,7,82
143,lions,5,Sun,October 9,away,patriots,0,29,19,35,211,0,1,2,18,6.5,5.7,54.3,60.5,27,101,3.7,0,0,0,4,12,0,6,28:31,5,1-4,17,2.0,22,364,188,176,1.0,-22.04,-10.08,3.38,-3.0,35,0,27,0,17,21,1,1,19,35,0,1,0,0,7,82,6,46
144,jaguars,5,Sun,October 9,home,texans,6,13,25,47,286,0,2,0,0,6.1,6.1,53.2,54.0,26,136,5.2,0,2,2,6,14,0,3,28:13,5,2-3,22,2.0,15,248,132,116,,-2.39,2.0,-3.89,7.0,31,1,26,0,16,24,0,0,25,47,0,2,1,8,6,48,4,25
145,texans,5,Sun,October 9,away,jaguars,13,6,16,24,132,0,0,1,8,5.8,5.3,66.7,80.6,31,116,3.7,1,2,2,5,13,0,0,31:47,5,1-3-1,15,,22,422,286,136,2.0,-2.0,2.39,3.89,-7.0,26,0,31,1,25,47,0,2,16,24,0,0,0,0,4,25,6,48
146,jets,5,Sun,October 9,home,dolphins,40,17,14,21,187,0,0,2,23,10.0,8.1,66.7,94.7,33,135,4.1,5,1,1,5,11,0,1,30:58,5,3-2,21,,19,295,158,137,2.0,11.86,6.15,3.66,3.5,26,2,33,5,19,34,0,1,14,21,0,0,2,8,5,105,11,102
147,dolphins,5,Sun,October 9,away,jets,17,40,19,34,158,0,1,2,8,4.9,4.4,55.9,55.8,26,137,5.3,2,1,2,4,11,0,2,29:02,5,3-2,19,2.0,21,322,187,135,,-6.15,-11.86,-3.66,-3.5,33,5,26,2,14,21,0,0,19,34,0,1,2,23,11,102,5,105
148,saints,5,Sun,October 9,home,seahawks,39,32,17,25,203,2,1,1,6,8.4,7.8,68.0,102.6,48,235,4.9,3,1,1,8,14,0,0,37:35,5,2-3,26,2.0,15,396,245,151,1.0,15.05,-4.57,-0.32,5.0,21,1,48,3,16,25,3,0,17,25,2,1,3,23,6,57,12,85
149,seahawks,5,Sun,October 9,away,saints,32,39,16,25,245,3,0,3,23,10.7,8.8,64.0,135.8,21,151,7.2,1,2,2,1,9,0,1,22:25,5,2-3,15,1.0,26,438,203,235,2.0,4.57,-15.05,0.32,-5.0,48,3,21,1,17,25,2,1,16,25,3,0,1,6,12,85,6,57
150,commanders,5,Sun,October 9,home,titans,17,21,25,38,342,2,1,3,17,9.4,8.3,65.8,101.0,17,43,2.5,0,1,1,1,11,1,2,27:20,5,1-4,17,1.0,15,241,136,105,,1.03,-0.25,-3.63,2.0,32,2,17,0,15,25,1,0,25,38,2,1,5,45,9,71,8,69
151,titans,5,Sun,October 9,away,commanders,21,17,15,25,136,1,0,5,45,7.2,4.5,60.0,88.1,32,105,3.3,2,0,0,4,14,1,1,32:40,5,3-2,15,,17,385,342,43,1.0,0.25,-1.03,3.63,-2.0,17,0,32,2,25,38,2,1,15,25,1,0,3,17,8,69,9,71
152,panthers,5,Sun,October 9,home,49ers,15,37,25,42,244,0,1,6,31,6.5,5.1,59.5,66.0,17,64,3.8,1,3,4,3,15,3,5,29:42,5,1-4,15,1.0,22,397,244,153,1.0,-13.22,-16.04,7.82,6.5,29,2,17,1,18,30,2,0,25,42,0,1,2,9,5,33,9,50
153,49ers,5,Sun,October 9,away,panthers,37,15,18,30,244,2,0,2,9,8.4,7.6,60.0,108.2,29,153,5.3,2,1,2,7,12,0,0,30:18,5,3-2,22,1.0,15,308,244,64,1.0,16.04,13.22,-7.82,-6.5,17,1,29,2,25,42,0,1,18,30,2,0,6,31,9,50,5,33
154,cardinals,5,Sun,October 9,home,eagles,17,20,28,42,239,1,1,1,11,6.0,5.6,66.7,79.4,26,124,4.8,1,1,2,8,14,1,1,25:21,5,2-3,23,1.0,24,357,218,139,,12.33,-10.63,-5.16,5.0,33,2,26,1,26,36,0,0,28,42,1,1,2,21,2,15,3,30
155,eagles,5,Sun,October 9,away,cardinals,20,17,26,36,218,0,0,2,21,6.6,5.7,72.2,87.5,33,139,4.2,2,2,2,6,13,1,1,34:39,5,5-0,24,,23,363,239,124,1.0,10.63,-12.33,5.16,-5.0,26,1,33,2,28,42,1,1,26,36,0,0,1,11,3,30,2,15
156,rams,5,Sun,October 9,home,cowboys,10,22,29,44,285,1,1,5,35,7.3,5.8,65.9,82.1,15,38,2.5,0,1,2,6,17,1,1,30:30,5,2-3,14,3.0,10,239,76,163,,-11.11,8.44,-6.98,5.5,34,1,15,0,10,16,0,0,29,44,1,1,3,26,3,25,5,42
157,cowboys,5,Sun,October 9,away,rams,22,10,10,16,76,0,0,3,26,6.4,4.0,62.5,74.0,34,163,4.8,1,3,3,5,15,0,0,29:30,5,4-1,10,,14,323,285,38,3.0,-8.44,11.11,6.98,-5.5,15,0,34,1,29,44,1,1,10,16,0,0,5,35,5,42,3,25
158,ravens,5,Sun,October 9,home,bengals,19,17,19,32,170,1,1,1,4,5.4,5.2,59.4,71.1,28,155,5.5,0,4,4,5,11,0,1,29:59,5,3-2,22,1.0,20,291,190,101,1.0,3.89,-3.22,1.19,3.5,21,1,28,0,24,35,1,1,19,32,1,1,3,27,6,48,4,20
159,bengals,5,Sun,October 9,away,ravens,17,19,24,35,190,1,1,3,27,6.2,5.0,68.6,79.5,21,101,4.8,1,1,1,4,10,0,1,30:01,5,2-3,20,1.0,22,325,170,155,1.0,3.22,-3.89,-1.19,-3.5,28,0,21,1,19,32,1,1,24,35,1,1,1,4,4,20,6,48
