,team,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,spread,def_rush_att,def_rush_tds,off_rush_att,off_rush_tds,def_pass_cmp,def_pass_att,def_pass_tds,def_pass_ints,off_pass_cmp,off_pass_att,off_pass_tds,off_pass_ints,def_sacks,def_sack_yds,tm_penalty,tm_penalty_yds,opp_penalty,opp_penalty_yds
17,ravens,1,Sun,September 11,away,jets,24,9,17,30,211,3,1,2,2,7.1,6.6,56.7,98.1,21,63,3.0,0,1,1,5,13,0,0,27:30,1,1-0,13,1.0,24,380,297,83,2.0,3.65,8.07,5.04,-6.5,17,0,21,0,37,59,1,1,17,30,3,1,3,12,5,29,6,81
18,cardinals,1,Sun,September 11,home,chiefs,21,44,24,38,179,2,0,3,26,5.4,4.4,63.2,91.9,22,103,4.7,1,0,0,3,12,3,4,25:18,1,0-1,18,,33,488,360,128,1.0,2.29,-33.41,6.88,6.5,27,1,22,1,30,39,5,0,24,38,2,0,0,0,5,49,3,25
19,chiefs,1,Sun,September 11,away,cardinals,44,21,30,39,360,5,0,0,0,9.2,9.2,76.9,144.2,27,128,4.7,1,1,1,5,8,1,1,34:42,1,1-0,33,1.0,18,282,179,103,,33.41,-2.29,-6.88,-6.5,22,1,27,1,24,38,2,0,30,39,5,0,3,26,3,25,5,49
20,vikings,1,Sun,September 11,home,packers,23,7,23,32,269,2,0,1,8,8.7,8.2,71.9,117.8,28,126,4.5,0,3,3,4,13,1,1,31:23,1,1-0,19,,21,338,227,111,2.0,9.99,1.89,1.12,2.5,18,1,28,0,26,39,0,1,23,32,2,0,4,33,3,20,2,10
21,packers,1,Sun,September 11,away,vikings,7,23,26,39,227,0,1,4,33,6.7,5.3,66.7,71.2,18,111,6.2,1,0,0,3,9,0,2,28:37,1,0-1,21,2.0,19,395,269,126,,-1.89,-9.99,-1.12,-2.5,28,0,18,1,23,32,2,0,26,39,0,1,1,8,2,10,3,20
22,titans,1,Sun,September 11,home,giants,20,21,20,33,266,2,0,1,0,8.1,7.8,60.6,106.4,26,93,3.6,0,2,3,3,11,0,0,31:06,1,0-1,19,1.0,19,394,156,238,2.0,5.97,-3.72,-2.44,5.0,32,1,26,0,17,21,2,1,20,33,2,0,5,32,7,50,8,45
23,giants,1,Sun,September 11,away,titans,21,20,17,21,156,2,1,5,32,9.0,6.0,81.0,109.5,32,238,7.4,1,0,0,2,10,1,1,28:54,1,1-0,19,2.0,19,359,266,93,1.0,3.72,-5.97,2.44,-5.0,26,0,32,1,20,33,2,0,17,21,2,1,1,0,8,45,7,50
24,chargers,1,Sun,September 11,home,raiders,24,19,26,34,279,3,0,0,0,8.2,8.2,76.5,129.4,31,76,2.5,0,1,2,6,14,0,1,32:32,1,1-0,18,,18,320,256,64,3.0,6.3,2.73,-1.95,3.5,13,0,31,0,22,37,2,3,26,34,3,0,6,39,5,21,3,11
25,raiders,1,Sun,September 11,away,chargers,19,24,22,37,256,2,3,6,39,8.0,6.0,59.5,64.7,13,64,4.9,0,2,2,5,11,1,2,27:28,1,0-1,18,3.0,18,355,279,76,,-2.73,-6.3,1.95,-3.5,31,0,13,0,26,34,3,0,22,37,2,3,0,0,3,11,5,21
26,cowboys,1,Sun,September 11,home,buccaneers,3,19,21,42,173,0,1,4,25,4.7,3.8,50.0,51.0,18,71,3.9,0,1,1,3,15,2,5,27:18,1,0-1,12,1.0,18,347,195,152,1.0,-19.4,-0.55,2.24,2.0,33,0,18,0,18,27,1,1,21,42,0,1,2,17,10,73,5,25
27,buccaneers,1,Sun,September 11,away,cowboys,19,3,18,27,195,1,1,2,17,7.9,6.7,66.7,84.6,33,152,4.6,0,4,5,5,14,0,0,32:42,1,1-0,18,1.0,12,244,173,71,1.0,0.55,19.4,-2.24,-2.0,18,0,33,0,21,42,0,1,18,27,1,1,4,25,5,25,10,73
28,seahawks,1,Mon,September 12,home,broncos,17,16,23,28,177,2,0,2,18,7.0,5.9,82.1,116.8,19,76,4.0,0,1,1,6,11,0,1,26:21,1,1-0,19,1.0,20,433,330,103,2.0,4.1,-9.94,6.84,6.5,20,0,19,0,29,42,1,0,23,28,2,0,2,10,5,77,12,106
29,broncos,1,Mon,September 12,away,seahawks,16,17,29,42,330,1,0,2,10,8.1,7.5,69.0,100.3,20,103,5.2,0,3,4,8,15,0,1,33:39,1,0-1,20,2.0,19,253,177,76,1.0,9.94,-4.1,-6.84,-6.5,19,0,20,0,23,28,2,0,29,42,1,0,2,18,12,106,5,77
30,rams,1,Thu,September 8,home,bills,10,31,29,41,191,1,3,7,49,5.9,4.0,70.7,58.1,18,52,2.9,0,1,1,6,13,2,3,28:46,1,0-1,19,3.0,23,413,292,121,4.0,-10.29,-13.89,3.96,2.5,25,1,18,0,26,31,3,2,29,41,1,3,2,5,4,30,5,35
31,bills,1,Thu,September 8,away,rams,31,10,26,31,292,3,2,2,5,9.6,8.8,83.9,111.3,25,121,4.8,1,1,1,9,10,0,0,31:14,1,1-0,23,4.0,19,243,191,52,3.0,13.89,10.29,-3.96,-2.5,18,0,25,1,29,41,1,3,26,31,3,2,7,49,5,35,4,30
32,chiefs,2,Thu,September 15,home,chargers,27,24,24,35,226,2,0,1,9,6.7,6.3,68.6,105.2,18,93,5.2,0,2,2,4,12,0,0,26:23,2,2-0,15,,21,401,326,75,1.0,5.54,-4.12,3.72,4.0,24,0,18,0,33,48,3,1,24,35,2,0,2,8,6,54,3,25
33,chargers,2,Thu,September 15,away,chiefs,24,27,33,48,326,3,1,2,8,7.0,6.5,68.8,99.8,24,75,3.1,0,1,1,5,16,4,4,33:37,2,1-1,21,1.0,15,319,226,93,,4.12,-5.54,-3.72,-4.0,18,0,24,0,24,35,2,0,33,48,3,1,1,9,3,25,6,54
34,giants,2,Sun,September 18,home,panthers,19,16,22,34,162,1,0,3,14,5.2,4.4,64.7,85.7,33,103,3.1,0,4,4,6,18,1,1,36:05,2,2-0,18,,18,275,129,146,2.0,-6.2,2.09,6.13,2.0,23,0,33,0,14,29,1,0,22,34,1,0,2,16,8,62,5,38
35,panthers,2,Sun,September 18,away,giants,16,19,14,29,129,1,0,2,16,5.0,4.2,48.3,72.3,23,146,6.3,0,3,3,2,12,1,1,23:55,2,0-2,18,2.0,18,265,162,103,,-2.09,6.2,-6.13,-2.0,33,0,23,0,22,34,1,0,14,29,1,0,3,14,5,38,8,62
36,browns,2,Sun,September 18,home,jets,30,31,22,27,221,1,1,1,8,8.5,7.9,81.5,97.7,37,184,5.0,3,1,1,8,12,0,0,32:14,2,1-1,29,1.0,20,402,309,93,1.0,17.92,-15.19,-5.38,6.5,20,0,37,3,27,45,4,0,22,27,1,1,2,15,5,38,8,57
37,jets,2,Sun,September 18,away,browns,31,30,27,45,309,4,0,2,15,7.2,6.6,60.0,110.3,20,93,4.7,0,1,1,8,15,1,1,27:46,2,1-1,20,1.0,29,405,221,184,1.0,15.19,-17.92,5.38,-6.5,37,3,20,0,22,27,1,1,27,45,4,0,1,8,8,57,5,38
38,jaguars,2,Sun,September 18,home,colts,24,0,25,30,235,2,0,0,0,7.8,7.8,83.3,121.5,37,96,2.6,1,1,1,6,15,2,3,38:15,2,1-1,21,,9,218,164,54,3.0,7.05,20.67,-3.43,3.0,13,0,37,1,16,30,0,3,25,30,2,0,5,31,3,19,5,30
