Week,Day,Date,home,away,home_score,away_score,away_spread,away_rush_att,away_rush_yds,away_rush_tds,home_rush_att,home_rush_yds,home_rush_tds,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_tds,away_pass_ints,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_tds,home_pass_ints,away_sacks,away_sack_yds,home_sacks,home_sack_yds,home_penalty,home_penalty_yds,away_penalty,away_penalty_yds
2,Thu,2022-09-15,chiefs,chargers,27,24,-4.0,24,75,0,18,93,0,33,48,334,3,1,24,35,235,2,0,2,8,1,9,6,54,3,25
2,Sun,2022-09-18,giants,panthers,19,16,-2.0,23,146,0,33,103,0,14,29,145,1,0,22,34,176,1,0,2,16,3,14,8,62,5,38
2,Sun,2022-09-18,browns,jets,30,31,-6.5,20,93,0,37,184,3,27,45,324,4,0,22,27,229,1,1,2,15,1,8,5,38,8,57
2,Sun,2022-09-18,jaguars,colts,24,0,-3.0,13,54,0,37,96,1,16,30,195,0,3,25,30,235,2,0,5,31,0,0,3,19,5,30
2,Sun,2022-09-18,lions,commanders,36,27,-1.5,21,88,1,24,191,0,30,46,337,3,1,20,34,256,4,0,5,29,3,22,1,5,2,17
2,Sun,2022-09-18,ravens,dolphins,38,42,-3.5,18,86,0,25,155,1,36,50,469,6,2,21,29,318,3,0,1,8,0,0,1,5,8,51
2,Sun,2022-09-18,saints,buccaneers,10,20,-2.5,30,72,0,20,100,0,18,34,190,1,0,25,40,236,1,3,1,2,6,28,9,60,8,101
2,Sun,2022-09-18,steelers,patriots,14,17,-2.5,31,124,1,22,91,0,21,35,252,1,1,21,33,168,1,1,0,0,3,16,3,20,7,55
2,Sun,2022-09-18,rams,falcons,31,27,-10.0,27,90,0,26,65,1,17,26,196,2,2,27,36,272,3,2,3,25,1,0,3,61,5,29
2,Sun,2022-09-18,49ers,seahawks,27,7,-9.0,14,36,0,45,189,2,24,31,197,0,2,15,24,184,1,0,2,17,1,0,1,26,10,106
2,Sun,2022-09-18,cowboys,bengals,20,17,-7.0,25,89,0,27,107,1,24,36,199,1,0,19,31,235,1,0,6,34,1,5,5,45,7,35
2,Sun,2022-09-18,raiders,cardinals,23,29,-5.5,28,143,2,21,80,0,31,49,277,1,1,25,39,252,2,0,1,7,1,8,10,68,12,120
2,Sun,2022-09-18,broncos,texans,16,9,-10.0,18,80,0,31,149,0,19,38,177,0,0,14,31,219,1,1,3,23,3,18,13,100,8,94
2,Sun,2022-09-18,packers,bears,27,10,-10.0,27,180,1,38,203,1,7,11,70,0,1,19,25,234,2,0,3,22,3,23,3,25,7,50
2,Mon,2022-09-19,bills,titans,41,7,-10.0,27,80,1,24,101,0,12,24,123,0,2,26,40,317,4,0,2,16,1,4,8,49,9,87
2,Mon,2022-09-19,eagles,vikings,24,7,-2.5,11,62,0,34,163,2,27,46,221,1,3,26,31,333,1,1,2,19,3,10,8,60,5,25
