Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime,team_away,team_home,rush_away,rush_home,pass_away,pass_home,sacked_away,sacked_home,penalty_away,penalty_home,away_spread,url
16,Thu,2022-12-22,8:15 PM,jets,jaguars,3.0,19.0,2022-12-23 01:15:00+00:00,2022-12-19 00:15:00+00:00,2022-12-23 00:15:00+00:00,JAX,NYJ,39-147-1,20-66-0,20-31-229-0-0,19-33-182-0-1,1-11,3-21,3-25,9-64,New York Jets -2.0,https://www.pro-football-reference.com/boxscores/202212220nyj.htm
16,Sat,2022-12-24,1:00 PM,bears,bills,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00,BUF,CHI,31-254-3,29-80-0,15-26-172-2-2,18-28-144-1-1,1-0,2-15,9-72,2-15,Buffalo Bills -8.0,https://www.pro-football-reference.com/boxscores/202212240chi.htm
16,Sat,2022-12-24,1:00 PM,ravens,falcons,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00,ATL,BAL,33-115-0,34-184-0,22-33-218-0-0,9-17-115-1-0,2-6,0-0,5-48,1-6,Baltimore Ravens -6.5,https://www.pro-football-reference.com/boxscores/202212240rav.htm
16,Sat,2022-12-24,1:00 PM,chiefs,seahawks,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00,SEA,KAN,31-133-0,22-77-1,25-40-215-1-1,16-28-224-2-0,2-15,1-4,6-35,5-39,Kansas City Chiefs -10.0,https://www.pro-football-reference.com/boxscores/202212240kan.htm
16,Sat,2022-12-24,1:00 PM,vikings,giants,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00,NYG,MIN,21-126-1,19-83-0,30-42-334-1-1,34-48-299-3-0,3-15,4-29,7-63,2-14,Minnesota Vikings -4.0,https://www.pro-football-reference.com/boxscores/202212240min.htm
16,Sat,2022-12-24,1:00 PM,browns,saints,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00,NOR,CLE,39-152-2,34-124-1,8-15-92-0-1,15-31-135-0-1,0-0,2-10,2-15,4-45,Cleveland Browns -3.0,https://www.pro-football-reference.com/boxscores/202212240cle.htm
16,Sat,2022-12-24,1:00 PM,patriots,bengals,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00,CIN,NWE,24-73-0,16-61-0,40-52-375-3-2,21-33-240-2-0,2-6,4-16,8-62,10-82,Cincinnati Bengals -3.0,https://www.pro-football-reference.com/boxscores/202212240nwe.htm
16,Sat,2022-12-24,1:00 PM,titans,texans,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00,HOU,TEN,30-70-0,31-184-2,20-32-218-1-1,14-23-99-0-2,1-3,4-11,4-35,5-30,Tennessee Titans -3.0,https://www.pro-football-reference.com/boxscores/202212240oti.htm
16,Sat,2022-12-24,1:00 PM,panthers,lions,,,2022-12-24 18:00:00+00:00,2022-12-20 17:00:00+00:00,2022-12-24 17:00:00+00:00,DET,CAR,17-45-0,43-320-3,25-42-355-3-0,15-22-250-1-0,2-19,0-0,4-30,10-74,Detroit Lions -2.5,https://www.pro-football-reference.com/boxscores/202212240car.htm
16,Sat,2022-12-24,4:05 PM,49ers,commanders,,,2022-12-24 21:05:00+00:00,2022-12-20 20:05:00+00:00,2022-12-24 20:05:00+00:00,WAS,SFO,33-79-0,26-153-2,25-34-289-3-1,15-22-234-2-1,2-19,3-16,6-51,4-25,San Francisco 49ers -6.5,https://www.pro-football-reference.com/boxscores/202212240sfo.htm
