Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime,team_away,team_home,rush_away,rush_home,pass_away,pass_home,sacked_away,sacked_home,penalty_away,penalty_home,away_spread,url
3,Thu,2022-09-22,8:15PM,browns,steelers,29,17,2022-09-23 01:15:00+00:00,2022-09-19 00:15:00+00:00,2022-09-23 00:15:00+00:00,PIT,CLE,22-104-2,38-171-1,20-32-207-0-0,21-31-220-2-0,1-3,2-15,5-25,5-24,Cleveland Browns -4.5,https://www.pro-football-reference.com/boxscores/202209220cle.htm
3,Sun,2022-09-25,1:00PM,dolphins,bills,21,19,2022-09-25 18:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-25 17:00:00+00:00,BUF,MIA,23-115-0,17-41-2,42-63-400-2-0,13-20-186-1-0,4-18,2-15,7-52,4-20,Buffalo Bills -4.5,https://www.pro-football-reference.com/boxscores/202209250mia.htm
3,Sun,2022-09-25,1:00PM,panthers,saints,22,14,2022-09-25 18:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-25 17:00:00+00:00,NOR,CAR,22-84-1,31-145-0,25-41-353-1-2,12-25-170-1-0,1-11,3-22,7-58,4-40,New Orleans Saints -2.5,https://www.pro-football-reference.com/boxscores/202209250car.htm
3,Sun,2022-09-25,1:00PM,bears,texans,23,20,2022-09-25 18:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-25 17:00:00+00:00,HOU,CHI,24-92-1,40-281-2,20-32-245-1-2,8-17-106-0-2,1-8,5-24,3-25,6-32,Chicago Bears -3.0,https://www.pro-football-reference.com/boxscores/202209250chi.htm
3,Sun,2022-09-25,1:00PM,jets,bengals,12,27,2022-09-25 18:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-25 17:00:00+00:00,CIN,NYJ,28-69-0,20-76-0,23-36-275-3-0,28-52-285-0-2,2-14,4-33,5-30,4-55,Cincinnati Bengals -6.0,https://www.pro-football-reference.com/boxscores/202209250nyj.htm
3,Sun,2022-09-25,1:00PM,colts,chiefs,20,17,2022-09-25 18:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-25 17:00:00+00:00,KAN,IND,23-58-1,27-82-0,20-36-262-1-1,27-37-222-2-0,1-5,5-45,6-45,4-34,Kansas City Chiefs -5.5,https://www.pro-football-reference.com/boxscores/202209250clt.htm
3,Sun,2022-09-25,1:00PM,vikings,lions,28,24,2022-09-25 18:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-25 17:00:00+00:00,DET,MIN,35-139-2,25-123-2,25-41-277-1-1,24-41-260-2-0,0-0,1-10,7-59,3-15,Minnesota Vikings -6.0,https://www.pro-football-reference.com/boxscores/202209250min.htm
3,Sun,2022-09-25,1:00PM,patriots,ravens,26,37,2022-09-25 18:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-25 17:00:00+00:00,BAL,NWE,26-188-1,28-145-3,18-29-218-4-1,22-32-321-0-3,4-12,3-19,2-10,3-16,Baltimore Ravens -2.5,https://www.pro-football-reference.com/boxscores/202209250nwe.htm
3,Sun,2022-09-25,1:00PM,titans,raiders,24,22,2022-09-25 18:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-25 17:00:00+00:00,LVR,TEN,19-96-0,27-109-2,27-45-307-2-1,19-27-264-1-1,1-7,1-12,6-44,7-85,Las Vegas Raiders -2.0,https://www.pro-football-reference.com/boxscores/202209250oti.htm
3,Sun,2022-09-25,1:00PM,commanders,eagles,8,24,2022-09-25 18:00:00+00:00,2022-09-21 17:00:00+00:00,2022-09-25 17:00:00+00:00,PHI,WAS,30-72-0,22-87-1,22-35-340-3-0,25-43-211-0-0,3-12,9-58,5-52,4-48,Philadelphia Eagles -6.0,https://www.pro-football-reference.com/boxscores/202209250was.htm
