Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime,team_away,team_home,rush_away,rush_home,pass_away,pass_home,sacked_away,sacked_home,penalty_away,penalty_home,away_spread,url
2,Thu,2022-09-15,8:15PM,chiefs,chargers,27,24,2022-09-16 01:15:00+00:00,2022-09-12 00:15:00+00:00,2022-09-16 00:15:00+00:00,LAC,KAN,24-75-0,18-93-0,33-48-334-3-1,24-35-235-2-0,2-8,1-9,3-25,6-54,Kansas City Chiefs -4.0,https://www.pro-football-reference.com/boxscores/202209150kan.htm
2,Sun,2022-09-18,1:00PM,giants,panthers,19,16,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00,CAR,NYG,23-146-0,33-103-0,14-29-145-1-0,22-34-176-1-0,2-16,3-14,5-38,8-62,New York Giants -2.0,https://www.pro-football-reference.com/boxscores/202209180nyg.htm
2,Sun,2022-09-18,1:00PM,browns,jets,30,31,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00,NYJ,CLE,20-93-0,37-184-3,27-45-324-4-0,22-27-229-1-1,2-15,1-8,8-57,5-38,Cleveland Browns -6.5,https://www.pro-football-reference.com/boxscores/202209180cle.htm
2,Sun,2022-09-18,1:00PM,jaguars,colts,24,0,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00,IND,JAX,13-54-0,37-96-1,16-30-195-0-3,25-30-235-2-0,5-31,0-0,5-30,3-19,Indianapolis Colts -3.0,https://www.pro-football-reference.com/boxscores/202209180jax.htm
2,Sun,2022-09-18,1:00PM,lions,commanders,36,27,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00,WAS,DET,21-88-1,24-191-0,30-46-337-3-1,20-34-256-4-0,5-29,3-22,2-17,1-5,Detroit Lions -1.5,https://www.pro-football-reference.com/boxscores/202209180det.htm
2,Sun,2022-09-18,1:00PM,ravens,dolphins,38,42,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00,MIA,BAL,18-86-0,25-155-1,36-50-469-6-2,21-29-318-3-0,1-8,0-0,8-51,1-5,Baltimore Ravens -3.5,https://www.pro-football-reference.com/boxscores/202209180rav.htm
2,Sun,2022-09-18,1:00PM,saints,buccaneers,10,20,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00,TAM,NOR,30-72-0,20-100-0,18-34-190-1-0,25-40-236-1-3,1-2,6-28,8-101,9-60,Tampa Bay Buccaneers -2.5,https://www.pro-football-reference.com/boxscores/202209180nor.htm
2,Sun,2022-09-18,1:00PM,steelers,patriots,14,17,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00,NWE,PIT,31-124-1,22-91-0,21-35-252-1-1,21-33-168-1-1,0-0,3-16,7-55,3-20,New England Patriots -2.5,https://www.pro-football-reference.com/boxscores/202209180pit.htm
2,Sun,2022-09-18,4:05PM,rams,falcons,31,27,2022-09-18 21:05:00+00:00,2022-09-14 20:05:00+00:00,2022-09-18 20:05:00+00:00,ATL,LAR,27-90-0,26-65-1,17-26-196-2-2,27-36-272-3-2,3-25,1-0,5-29,3-61,Los Angeles Rams -10.0,https://www.pro-football-reference.com/boxscores/202209180ram.htm
2,Sun,2022-09-18,4:05PM,49ers,seahawks,27,7,2022-09-18 21:05:00+00:00,2022-09-14 20:05:00+00:00,2022-09-18 20:05:00+00:00,SEA,SFO,14-36-0,45-189-2,24-31-197-0-2,15-24-184-1-0,2-17,1-0,10-106,1-26,San Francisco 49ers -9.0,https://www.pro-football-reference.com/boxscores/202209180sfo.htm
2,Sun,2022-09-18,4:25PM,cowboys,bengals,20,17,2022-09-18 21:25:00+00:00,2022-09-14 20:25:00+00:00,2022-09-18 20:25:00+00:00,CIN,DAL,25-89-0,27-107-1,24-36-199-1-0,19-31-235-1-0,6-34,1-5,7-35,5-45,Cincinnati Bengals -7.0,https://www.pro-football-reference.com/boxscores/202209180dal.htm
2,Sun,2022-09-18,4:25PM,raiders,cardinals,23,29,2022-09-18 21:25:00+00:00,2022-09-14 20:25:00+00:00,2022-09-18 20:25:00+00:00,ARI,LVR,28-143-2,21-80-0,31-49-277-1-1,25-39-252-2-0,1-7,1-8,12-120,10-68,Las Vegas Raiders -5.5,https://www.pro-football-reference.com/boxscores/202209180rai.htm
2,Sun,2022-09-18,4:25PM,broncos,texans,16,9,2022-09-18 21:25:00+00:00,2022-09-14 20:25:00+00:00,2022-09-18 20:25:00+00:00,HOU,DEN,18-80-0,31-149-0,19-38-177-0-0,14-31-219-1-1,3-23,3-18,8-94,13-100,Denver Broncos -10.0,https://www.pro-football-reference.com/boxscores/202209180den.htm
2,Sun,2022-09-18,8:20PM,packers,bears,27,10,2022-09-19 01:20:00+00:00,2022-09-15 00:20:00+00:00,2022-09-19 00:20:00+00:00,CHI,GNB,27-180-1,38-203-1,7-11-70-0-1,19-25-234-2-0,3-22,3-23,7-50,3-25,Green Bay Packers -10.0,https://www.pro-football-reference.com/boxscores/202209180gnb.htm
2,Mon,2022-09-19,7:15PM,bills,titans,41,7,2022-09-20 00:15:00+00:00,2022-09-15 23:15:00+00:00,2022-09-19 23:15:00+00:00,TEN,BUF,27-80-1,24-101-0,12-24-123-0-2,26-40-317-4-0,2-16,1-4,9-87,8-49,Buffalo Bills -10.0,https://www.pro-football-reference.com/boxscores/202209190buf.htm
2,Mon,2022-09-19,8:30PM,eagles,vikings,24,7,2022-09-20 01:30:00+00:00,2022-09-16 00:30:00+00:00,2022-09-20 00:30:00+00:00,MIN,PHI,11-62-0,34-163-2,27-46-221-1-3,26-31-333-1-1,2-19,3-10,5-25,8-60,Philadelphia Eagles -2.5,https://www.pro-football-reference.com/boxscores/202209190phi.htm
