Week,Day,Date,home,away,home_score,away_score,away_spread,away_rush_att,away_rush_yds,away_rush_tds,home_rush_att,home_rush_yds,home_rush_tds,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_tds,away_pass_ints,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_tds,home_pass_ints,away_sacks,away_sack_yds,home_sacks,home_sack_yds,home_penalty,home_penalty_yds,away_penalty,away_penalty_yds
5,Thu,2022-10-06,broncos,colts,9,12,-3.0,26,106,0,28,125,0,26,41,251,0,2,21,39,274,0,2,6,51,4,24,7,49,8,64
5,Sun,2022-10-09,packers,giants,22,27,-8.0,31,125,3,20,94,0,21,27,217,0,0,25,39,222,2,0,1,4,2,15,7,37,6,63
5,Sun,2022-10-09,buccaneers,falcons,21,15,-10.0,31,151,1,23,69,1,14,25,147,1,0,35,52,351,1,0,5,37,0,0,6,45,6,55
5,Sun,2022-10-09,bills,steelers,38,3,-14.0,17,54,0,18,120,1,34,52,327,0,1,22,36,432,4,1,3,17,0,0,5,28,6,54
5,Sun,2022-10-09,vikings,bears,29,22,-7.5,24,78,1,31,117,3,15,21,208,1,0,33,42,319,1,1,2,15,1,7,7,70,6,40
5,Sun,2022-10-09,browns,chargers,28,30,-1.0,34,238,2,31,213,3,22,34,228,1,0,21,34,230,1,1,1,1,0,0,6,65,4,17
5,Sun,2022-10-09,patriots,lions,29,0,-3.0,27,101,0,35,176,0,19,35,229,0,1,17,21,188,1,1,2,18,0,0,6,46,7,82
5,Sun,2022-10-09,jaguars,texans,6,13,-7.0,31,116,1,26,136,0,16,24,140,0,0,25,47,286,0,2,1,8,0,0,6,48,4,25
5,Sun,2022-10-09,jets,dolphins,40,17,-3.5,26,137,2,33,135,5,19,34,166,0,1,14,21,210,0,0,2,8,2,23,5,105,11,102
5,Sun,2022-10-09,saints,seahawks,39,32,-5.0,21,151,1,48,235,3,16,25,268,3,0,17,25,209,2,1,3,23,1,6,6,57,12,85
5,Sun,2022-10-09,commanders,titans,17,21,-2.0,32,105,2,17,43,0,15,25,181,1,0,25,38,359,2,1,5,45,3,17,9,71,8,69
5,Sun,2022-10-09,panthers,49ers,15,37,-6.5,29,153,2,17,64,1,18,30,253,2,0,25,42,275,0,1,2,9,6,31,5,33,9,50
5,Sun,2022-10-09,cardinals,eagles,17,20,-5.0,33,139,2,26,124,1,26,36,239,0,0,28,42,250,1,1,2,21,1,11,2,15,3,30
5,Sun,2022-10-09,rams,cowboys,10,22,-5.5,34,163,1,15,38,0,10,16,102,0,0,29,44,320,1,1,3,26,5,35,3,25,5,42
5,Sun,2022-10-09,ravens,bengals,19,17,-3.5,21,101,1,28,155,0,24,35,217,1,1,19,32,174,1,1,3,27,1,4,6,48,4,20
5,Mon,2022-10-10,chiefs,raiders,30,29,-7.0,24,155,1,23,103,0,19,30,241,2,0,29,43,292,4,0,2,18,3,27,5,72,11,99
