Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime,team_away,team_home,rush_away,rush_home,pass_away,pass_home,sacked_away,sacked_home,penalty_away,penalty_home,away_spread,url
12,Thu,2022-11-24,12:30PM,lions,bills,25,28,2022-11-24 17:30:00+00:00,2022-11-20 16:30:00+00:00,2022-11-24 16:30:00+00:00,BUF,DET,29-164-1,28-96-1,24-42-253-2-1,23-37-240-2-0,3-16,2-10,5-36,3-32,Buffalo Bills -9.5,https://www.pro-football-reference.com/boxscores/202211240det.htm
12,Thu,2022-11-24,4:30PM,cowboys,giants,28,20,2022-11-24 21:30:00+00:00,2022-11-20 20:30:00+00:00,2022-11-24 20:30:00+00:00,NYG,DAL,21-90-1,39-169-2,21-35-228-1-0,21-30-261-2-2,3-18,0-0,7-66,13-86,Dallas Cowboys -10.0,https://www.pro-football-reference.com/boxscores/202211240dal.htm
12,Thu,2022-11-24,8:20PM,vikings,patriots,33,26,2022-11-25 01:20:00+00:00,2022-11-21 00:20:00+00:00,2022-11-25 00:20:00+00:00,NWE,MIN,13-45-0,27-57-0,28-39-382-2-0,31-38-310-3-1,3-18,1-9,6-55,3-20,Minnesota Vikings -2.5,https://www.pro-football-reference.com/boxscores/202211240min.htm
12,Sun,2022-11-27,1:00PM,titans,bengals,16,20,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00,CIN,TEN,28-108-1,21-63-0,22-37-270-1-0,22-34-291-0-0,1-4,1-10,9-80,8-57,Cincinnati Bengals -1.5,https://www.pro-football-reference.com/boxscores/202211270oti.htm
12,Sun,2022-11-27,1:00PM,browns,buccaneers,23,17,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00,TAM,CLE,20-96-0,34-189-2,29-43-246-2-0,23-37-210-1-1,3-17,4-32,9-70,5-42,Tampa Bay Buccaneers -3.0,https://www.pro-football-reference.com/boxscores/202211270cle.htm
12,Sun,2022-11-27,1:00PM,dolphins,texans,30,15,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00,HOU,MIA,14-36-1,26-66-1,26-39-215-1-2,23-41-305-1-0,5-41,5-32,5-45,4-35,Miami Dolphins -14.0,https://www.pro-football-reference.com/boxscores/202211270mia.htm
12,Sun,2022-11-27,1:00PM,jaguars,ravens,28,27,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00,BAL,JAX,35-162-1,20-38-0,16-32-254-1-0,29-37-321-3-0,1-1,4-27,3-20,4-19,Baltimore Ravens -3.5,https://www.pro-football-reference.com/boxscores/202211270jax.htm
12,Sun,2022-11-27,1:00PM,commanders,falcons,19,13,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00,ATL,WAS,29-167-0,37-176-0,15-25-174-1-1,14-23-138-2-1,1-9,0-0,2-20,4-28,Washington Commanders -4.0,https://www.pro-football-reference.com/boxscores/202211270was.htm
12,Sun,2022-11-27,1:00PM,panthers,broncos,23,10,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00,DEN,CAR,19-121-0,46-185-1,19-35-142-1-0,11-19-164-1-0,3-17,0-0,4-44,4-34,Denver Broncos -1.0,https://www.pro-football-reference.com/boxscores/202211270car.htm
12,Sun,2022-11-27,1:00PM,jets,bears,31,10,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00,CHI,NYJ,29-127-0,32-158-1,14-25-179-1-1,22-29-315-3-0,2-14,1-7,1-10,1-5,New York Jets -7.0,https://www.pro-football-reference.com/boxscores/202211270nyj.htm
