Week,Day,Date,home,away,home_score,away_score,away_spread,away_rush_att,away_rush_yds,away_rush_tds,home_rush_att,home_rush_yds,home_rush_tds,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_tds,away_pass_ints,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_tds,home_pass_ints,away_sacks,away_sack_yds,home_sacks,home_sack_yds,home_penalty,home_penalty_yds,away_penalty,away_penalty_yds
11,Thu,2022-11-17,packers,titans,17,27,-3.0,32,88,1,19,56,0,24,29,337,3,1,24,39,227,2,0,3,17,1,12,5,40,2,19
11,Sun,2022-11-20,bills,browns,31,23,-7.5,26,80,0,33,171,1,28,41,324,3,0,18,27,197,1,0,1,8,2,11,8,89,6,42
11,Sun,2022-11-20,giants,lions,18,31,-3.0,37,160,4,26,89,2,17,26,165,0,0,27,44,341,1,2,0,0,2,17,8,63,5,45
11,Sun,2022-11-20,texans,commanders,10,23,-3.0,40,153,1,16,21,1,15,27,191,0,0,19,33,169,0,2,0,0,5,42,2,15,5,36
11,Sun,2022-11-20,patriots,jets,10,3,-3.5,23,59,0,26,99,0,9,22,77,0,0,23,27,246,0,0,4,33,6,48,8,55,3,15
11,Sun,2022-11-20,falcons,bears,27,24,-2.5,41,160,2,33,149,1,14,21,153,1,1,13,20,131,1,0,4,25,0,0,2,13,7,56
11,Sun,2022-11-20,ravens,panthers,13,3,-13.0,17,36,0,30,115,1,21,33,196,0,2,24,33,209,0,1,4,27,3,16,10,93,9,66
11,Sun,2022-11-20,colts,eagles,16,17,-6.5,33,141,1,26,99,1,18,25,190,1,0,23,32,213,0,0,3,17,4,28,8,90,7,55
11,Sun,2022-11-20,saints,rams,27,20,-2.5,30,148,0,24,88,0,16,28,223,2,0,22,28,274,3,0,4,35,4,39,2,15,6,55
11,Sun,2022-11-20,broncos,raiders,16,22,-2.5,24,109,0,28,94,1,23,37,307,2,0,24,31,247,0,0,1,9,3,21,5,45,9,98
11,Sun,2022-11-20,steelers,bengals,30,37,-3.5,24,62,0,24,102,2,24,39,355,4,2,25,42,265,1,0,2,9,2,16,8,70,6,44
11,Sun,2022-11-20,vikings,cowboys,3,40,-1.5,40,151,2,17,73,0,26,30,307,2,0,17,30,159,0,0,0,0,7,49,7,59,6,39
11,Sun,2022-11-20,chargers,chiefs,27,30,-5.0,27,163,0,30,115,1,20,34,329,3,0,23,30,280,2,1,1,7,5,30,4,25,4,54
11,Mon,2022-11-21,cardinals,49ers,10,38,-8.0,28,159,1,24,67,1,20,29,228,4,0,30,44,277,0,2,0,0,3,30,5,50,3,30
