Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime,team_away,team_home,rush_away,rush_home,pass_away,pass_home,sacked_away,sacked_home,penalty_away,penalty_home,away_spread,url
5,Thu,2022-10-06,8:15PM,broncos,colts,9,12,2022-10-07 01:15:00+00:00,2022-10-03 00:15:00+00:00,2022-10-07 00:15:00+00:00,IND,DEN,26-106-0,28-125-0,26-41-251-0-2,21-39-274-0-2,6-51,4-24,8-64,7-49,Denver Broncos -3.0,https://www.pro-football-reference.com/boxscores/202210060den.htm
5,Sun,2022-10-09,9:30AM,packers,giants,22,27,2022-10-09 14:30:00+00:00,2022-10-05 13:30:00+00:00,2022-10-09 13:30:00+00:00,NYG,GNB,31-125-3,20-94-0,21-27-217-0-0,25-39-222-2-0,1-4,2-15,6-63,7-37,Green Bay Packers -8.0,https://www.pro-football-reference.com/boxscores/202210090gnb.htm
5,Sun,2022-10-09,1:00PM,buccaneers,falcons,21,15,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00,ATL,TAM,31-151-1,23-69-1,14-25-147-1-0,35-52-351-1-0,5-37,0-0,6-55,6-45,Tampa Bay Buccaneers -10.0,https://www.pro-football-reference.com/boxscores/202210090tam.htm
5,Sun,2022-10-09,1:00PM,bills,steelers,38,3,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00,PIT,BUF,17-54-0,18-120-1,34-52-327-0-1,22-36-432-4-1,3-17,0-0,6-54,5-28,Buffalo Bills -14.0,https://www.pro-football-reference.com/boxscores/202210090buf.htm
5,Sun,2022-10-09,1:00PM,vikings,bears,29,22,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00,CHI,MIN,24-78-1,31-117-3,15-21-208-1-0,33-42-319-1-1,2-15,1-7,6-40,7-70,Minnesota Vikings -7.5,https://www.pro-football-reference.com/boxscores/202210090min.htm
5,Sun,2022-10-09,1:00PM,browns,chargers,28,30,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00,LAC,CLE,34-238-2,31-213-3,22-34-228-1-0,21-34-230-1-1,1-1,0-0,4-17,6-65,Los Angeles Chargers -1.0,https://www.pro-football-reference.com/boxscores/202210090cle.htm
5,Sun,2022-10-09,1:00PM,patriots,lions,29,0,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00,DET,NWE,27-101-0,35-176-0,19-35-229-0-1,17-21-188-1-1,2-18,0-0,7-82,6-46,New England Patriots -3.0,https://www.pro-football-reference.com/boxscores/202210090nwe.htm
5,Sun,2022-10-09,1:00PM,jaguars,texans,6,13,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00,HOU,JAX,31-116-1,26-136-0,16-24-140-0-0,25-47-286-0-2,1-8,0-0,4-25,6-48,Jacksonville Jaguars -7.0,https://www.pro-football-reference.com/boxscores/202210090jax.htm
5,Sun,2022-10-09,1:00PM,jets,dolphins,40,17,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00,MIA,NYJ,26-137-2,33-135-5,19-34-166-0-1,14-21-210-0-0,2-8,2-23,11-102,5-105,Miami Dolphins -3.5,https://www.pro-football-reference.com/boxscores/202210090nyj.htm
5,Sun,2022-10-09,1:00PM,saints,seahawks,39,32,2022-10-09 18:00:00+00:00,2022-10-05 17:00:00+00:00,2022-10-09 17:00:00+00:00,SEA,NOR,21-151-1,48-235-3,16-25-268-3-0,17-25-209-2-1,3-23,1-6,12-85,6-57,New Orleans Saints -5.0,https://www.pro-football-reference.com/boxscores/202210090nor.htm
