Week,Day,Date,home,away,home_score,away_score,away_spread,away_rush_att,away_rush_yds,away_rush_tds,home_rush_att,home_rush_yds,home_rush_tds,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_tds,away_pass_ints,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_tds,home_pass_ints,away_sacks,away_sack_yds,home_sacks,home_sack_yds,home_penalty,home_penalty_yds,away_penalty,away_penalty_yds
18,Sat,2023-01-07,raiders,chiefs,13,31,-9.0,28,168,3,25,99,0,18,26,202,1,0,22,36,219,1,1,2,21,6,39,6,47,5,43
18,Sat,2023-01-07,jaguars,titans,20,16,-6.5,39,147,0,14,19,0,20,29,179,1,1,20,32,212,1,0,4,14,1,9,4,25,6,40
18,Sun,2023-01-08,bills,patriots,35,23,-7.5,23,107,0,25,90,0,26,40,243,3,3,19,31,254,3,1,1,9,2,17,2,20,2,20
18,Sun,2023-01-08,bengals,ravens,27,16,-9.0,27,110,1,20,55,1,19,44,286,0,2,25,42,215,1,0,4,10,2,13,3,35,5,22
18,Sun,2023-01-08,falcons,buccaneers,30,17,-4.0,20,86,0,35,174,1,22,34,136,2,0,19,30,224,2,0,0,0,2,16,2,18,3,30
18,Sun,2023-01-08,saints,panthers,7,10,-3.5,41,171,0,32,143,0,5,15,43,0,2,15,25,171,1,0,2,11,1,10,2,15,2,20
18,Sun,2023-01-08,bears,vikings,13,29,-7.0,38,141,2,22,118,1,28,33,341,1,1,13,27,147,1,2,0,0,1,6,2,20,8,36
18,Sun,2023-01-08,steelers,browns,28,14,-2.5,22,134,0,37,144,2,19,29,230,2,2,13,29,195,1,0,7,57,1,6,4,20,9,65
18,Sun,2023-01-08,colts,texans,31,32,-2.5,23,59,0,33,196,1,24,40,311,3,2,23,35,209,2,2,1,10,2,7,2,10,7,41
18,Sun,2023-01-08,dolphins,jets,11,6,-3.5,20,38,0,32,162,0,18,33,149,0,0,20,31,152,0,0,0,0,1,12,5,47,6,54
18,Sun,2023-01-08,49ers,cardinals,38,13,-14.0,20,61,1,37,169,2,20,27,209,1,3,15,20,178,3,0,3,15,4,36,2,10,7,50
18,Sun,2023-01-08,commanders,cowboys,26,6,-7.0,27,64,0,41,151,1,14,38,128,1,1,11,19,169,1,1,1,10,3,11,2,10,6,74
18,Sun,2023-01-08,broncos,chargers,31,28,-3.0,22,59,0,36,205,1,30,44,298,3,0,13,24,283,3,1,1,5,2,17,3,36,5,34
18,Sun,2023-01-08,eagles,giants,22,16,-16.0,21,129,1,34,135,1,23,40,168,1,0,20,35,229,0,1,2,13,3,22,4,30,8,66
18,Sun,2023-01-08,seahawks,rams,19,16,-6.0,28,146,1,36,197,0,13,26,147,0,1,19,31,213,1,2,5,24,3,8,4,20,3,35
18,Sun,2023-01-08,packers,lions,16,20,-5.0,25,104,2,28,103,0,23,34,224,0,0,17,27,205,1,1,1,5,2,17,4,35,5,75
