Week,Day,Date,home,away,home_score,away_score,away_spread,away_rush_att,away_rush_yds,away_rush_tds,home_rush_att,home_rush_yds,home_rush_tds,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_tds,away_pass_ints,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_tds,home_pass_ints,away_sacks,away_sack_yds,home_sacks,home_sack_yds,home_penalty,home_penalty_yds,away_penalty,away_penalty_yds
4,Thu,2022-09-29,bengals,dolphins,27,15,-3.5,22,85,0,30,67,1,22,37,303,1,2,21,32,310,2,0,1,10,1,6,6,74,6,41
4,Sun,2022-10-02,saints,vikings,25,28,-3.5,25,81,1,27,111,2,26,39,286,1,1,20,28,236,1,0,3,23,2,9,10,102,5,35
4,Sun,2022-10-02,falcons,browns,23,20,-1.0,35,177,2,35,202,2,21,35,234,0,1,7,19,139,0,1,1,8,1,8,1,15,7,51
4,Sun,2022-10-02,ravens,bills,20,23,-3.0,25,125,1,33,162,1,19,36,213,1,1,20,29,144,1,2,1,12,2,10,9,70,4,31
4,Sun,2022-10-02,giants,bears,20,12,-3.0,32,149,0,44,262,2,11,22,174,0,0,9,16,82,0,1,6,19,1,11,7,55,5,65
4,Sun,2022-10-02,colts,titans,17,24,-3.5,28,127,1,23,38,0,17,21,137,2,0,27,37,356,2,1,3,21,3,29,7,50,6,40
4,Sun,2022-10-02,cowboys,commanders,25,10,-3.0,27,142,0,29,62,0,25,42,170,1,2,15,27,223,2,0,2,15,1,6,4,20,11,136
4,Sun,2022-10-02,lions,seahawks,45,48,-3.5,33,235,3,25,145,2,23,30,320,2,0,27,40,384,4,1,0,0,1,9,8,59,11,76
4,Sun,2022-10-02,texans,chargers,24,34,-6.0,27,81,2,14,131,1,27,39,340,2,0,26,35,246,2,2,1,2,4,31,9,67,6,61
4,Sun,2022-10-02,eagles,jaguars,29,21,-6.5,19,71,0,50,210,4,11,23,174,2,1,16,25,204,0,1,4,26,2,13,3,20,4,38
4,Sun,2022-10-02,steelers,jets,20,24,-3.5,29,98,1,31,119,2,19,37,254,2,2,17,26,204,0,4,1,4,3,26,8,55,7,64
4,Sun,2022-10-02,panthers,cardinals,16,26,-1.0,37,132,1,13,40,0,23,32,207,2,1,22,36,197,1,2,1,1,2,17,6,76,7,61
4,Sun,2022-10-02,raiders,broncos,32,23,-2.5,20,85,1,38,212,2,17,25,237,2,0,21,34,188,0,0,3,23,2,15,4,25,7,50
4,Sun,2022-10-02,packers,patriots,27,24,-9.5,33,167,1,35,199,1,15,21,136,1,0,21,35,251,2,1,4,32,1,7,4,40,7,75
4,Sun,2022-10-02,buccaneers,chiefs,31,41,-1.0,37,189,2,6,3,1,23,37,249,3,1,39,52,385,3,0,3,21,1,12,5,40,4,32
4,Mon,2022-10-03,49ers,rams,24,9,-1.5,18,57,0,22,88,1,32,48,254,0,1,16,27,239,1,0,7,54,0,0,4,25,1,5
