Week,Day,Date,home,away,home_score,away_score,away_spread,away_rush_att,away_rush_yds,away_rush_tds,home_rush_att,home_rush_yds,home_rush_tds,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_tds,away_pass_ints,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_tds,home_pass_ints,away_sacks,away_sack_yds,home_sacks,home_sack_yds,home_penalty,home_penalty_yds,away_penalty,away_penalty_yds
14,Thu,2022-12-08,rams,raiders,17,16,-6.0,38,165,1,22,71,1,11,20,137,0,2,22,35,230,1,0,0,0,4,19,7,60,7,94
14,Sun,2022-12-11,bills,jets,20,12,-10.0,22,76,1,24,102,1,28,47,269,0,0,16,27,147,1,0,4,36,3,17,5,35,7,61
14,Sun,2022-12-11,bengals,browns,23,10,-5.5,25,71,0,26,136,1,26,43,276,1,1,18,33,239,2,1,2,3,2,12,4,36,9,98
14,Sun,2022-12-11,cowboys,texans,27,23,-17.0,37,114,1,31,127,2,20,27,213,1,1,24,39,284,1,2,0,0,1,7,3,10,4,25
14,Sun,2022-12-11,lions,vikings,34,23,-2.0,17,22,1,30,134,1,31,41,425,2,0,27,39,330,3,0,4,31,0,0,7,51,3,25
14,Sun,2022-12-11,titans,jaguars,22,36,-3.5,25,60,1,20,137,1,30,42,368,3,0,25,38,254,2,1,0,0,4,27,5,50,9,70
14,Sun,2022-12-11,giants,eagles,22,48,-7.0,31,253,4,24,123,1,21,31,217,2,0,23,32,216,2,0,4,33,7,35,5,34,2,9
14,Sun,2022-12-11,steelers,ravens,14,16,-1.5,42,215,1,20,65,1,11,17,104,0,0,22,31,276,1,3,2,10,2,12,2,15,5,46
14,Sun,2022-12-11,broncos,chiefs,28,34,-8.5,23,89,0,19,106,0,28,42,352,3,3,27,44,263,4,2,2,10,6,49,6,38,4,70
14,Sun,2022-12-11,seahawks,panthers,24,30,-4.0,46,223,2,14,46,0,14,24,120,1,0,21,36,264,3,2,2,15,3,23,3,35,6,29
14,Sun,2022-12-11,49ers,buccaneers,35,7,-3.5,19,69,0,36,209,3,34,55,253,1,2,17,23,195,2,0,0,0,0,0,2,15,8,62
14,Sun,2022-12-11,chargers,dolphins,23,17,-3.0,19,92,0,23,82,1,10,28,145,1,0,39,51,367,1,0,2,18,4,17,6,40,6,50
14,Mon,2022-12-12,cardinals,patriots,13,27,-1.5,21,103,2,22,113,1,24,35,235,0,1,28,41,255,0,1,1,10,6,45,8,48,8,80
