Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime
12,Thu,2022-11-24,12:30PM,lions,bills,25,28,2022-11-24 17:30:00+00:00,2022-11-20 16:30:00+00:00,2022-11-24 16:30:00+00:00
12,Thu,2022-11-24,4:30PM,cowboys,giants,28,20,2022-11-24 21:30:00+00:00,2022-11-20 20:30:00+00:00,2022-11-24 20:30:00+00:00
12,Thu,2022-11-24,8:20PM,vikings,patriots,33,26,2022-11-25 01:20:00+00:00,2022-11-21 00:20:00+00:00,2022-11-25 00:20:00+00:00
12,Sun,2022-11-27,1:00PM,titans,bengals,16,20,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,browns,buccaneers,23,17,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,dolphins,texans,30,15,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,jaguars,ravens,28,27,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,commanders,falcons,19,13,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,panthers,broncos,23,10,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,1:00PM,jets,bears,31,10,2022-11-27 18:00:00+00:00,2022-11-23 17:00:00+00:00,2022-11-27 17:00:00+00:00
12,Sun,2022-11-27,4:05PM,seahawks,raiders,34,40,2022-11-27 21:05:00+00:00,2022-11-23 20:05:00+00:00,2022-11-27 20:05:00+00:00
12,Sun,2022-11-27,4:05PM,cardinals,chargers,24,25,2022-11-27 21:05:00+00:00,2022-11-23 20:05:00+00:00,2022-11-27 20:05:00+00:00
12,Sun,2022-11-27,4:25PM,chiefs,rams,26,10,2022-11-27 21:25:00+00:00,2022-11-23 20:25:00+00:00,2022-11-27 20:25:00+00:00
12,Sun,2022-11-27,4:25PM,49ers,saints,13,0,2022-11-27 21:25:00+00:00,2022-11-23 20:25:00+00:00,2022-11-27 20:25:00+00:00
12,Sun,2022-11-27,8:20PM,eagles,packers,40,33,2022-11-28 01:20:00+00:00,2022-11-24 00:20:00+00:00,2022-11-28 00:20:00+00:00
12,Mon,2022-11-28,8:15PM,colts,steelers,17,24,2022-11-29 01:15:00+00:00,2022-11-25 00:15:00+00:00,2022-11-29 00:15:00+00:00
