Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime
2,Thu,2022-09-15,8:15PM,chiefs,chargers,27,24,2022-09-16 01:15:00+00:00,2022-09-12 00:15:00+00:00,2022-09-16 00:15:00+00:00
2,Sun,2022-09-18,1:00PM,giants,panthers,19,16,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00
2,Sun,2022-09-18,1:00PM,browns,jets,30,31,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00
2,Sun,2022-09-18,1:00PM,jaguars,colts,24,0,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00
2,Sun,2022-09-18,1:00PM,lions,commanders,36,27,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00
2,Sun,2022-09-18,1:00PM,ravens,dolphins,38,42,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00
2,Sun,2022-09-18,1:00PM,saints,buccaneers,10,20,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00
2,Sun,2022-09-18,1:00PM,steelers,patriots,14,17,2022-09-18 18:00:00+00:00,2022-09-14 17:00:00+00:00,2022-09-18 17:00:00+00:00
2,Sun,2022-09-18,4:05PM,rams,falcons,31,27,2022-09-18 21:05:00+00:00,2022-09-14 20:05:00+00:00,2022-09-18 20:05:00+00:00
2,Sun,2022-09-18,4:05PM,49ers,seahawks,27,7,2022-09-18 21:05:00+00:00,2022-09-14 20:05:00+00:00,2022-09-18 20:05:00+00:00
2,Sun,2022-09-18,4:25PM,cowboys,bengals,20,17,2022-09-18 21:25:00+00:00,2022-09-14 20:25:00+00:00,2022-09-18 20:25:00+00:00
2,Sun,2022-09-18,4:25PM,raiders,cardinals,23,29,2022-09-18 21:25:00+00:00,2022-09-14 20:25:00+00:00,2022-09-18 20:25:00+00:00
2,Sun,2022-09-18,4:25PM,broncos,texans,16,9,2022-09-18 21:25:00+00:00,2022-09-14 20:25:00+00:00,2022-09-18 20:25:00+00:00
2,Sun,2022-09-18,8:20PM,packers,bears,27,10,2022-09-19 01:20:00+00:00,2022-09-15 00:20:00+00:00,2022-09-19 00:20:00+00:00
2,Mon,2022-09-19,7:15PM,bills,titans,41,7,2022-09-20 00:15:00+00:00,2022-09-15 23:15:00+00:00,2022-09-19 23:15:00+00:00
2,Mon,2022-09-19,8:30PM,eagles,vikings,24,7,2022-09-20 01:30:00+00:00,2022-09-16 00:30:00+00:00,2022-09-20 00:30:00+00:00
