Week,Day,Date,Time,Winner/tie,,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
17,Thu,2022-12-29,8:15 PM,Dallas Cowboys,@,Tennessee Titans,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,Carolina Panthers,@,Tampa Bay Buccaneers,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,Pittsburgh Steelers,@,Baltimore Ravens,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,New Orleans Saints,@,Philadelphia Eagles,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,Miami Dolphins,@,New England Patriots,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,Jacksonville Jaguars,@,Houston Texans,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,Denver Broncos,@,Kansas City Chiefs,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,Indianapolis Colts,@,New York Giants,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,Cleveland Browns,@,Washington Commanders,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,Chicago Bears,@,Detroit Lions,preview,,,,,,
17,Sun,2023-01-01,1:00 PM,Arizona Cardinals,@,Atlanta Falcons,preview,,,,,,
17,Sun,2023-01-01,4:05 PM,San Francisco 49ers,@,Las Vegas Raiders,preview,,,,,,
17,Sun,2023-01-01,4:05 PM,New York Jets,@,Seattle Seahawks,preview,,,,,,
17,Sun,2023-01-01,4:25 PM,Minnesota Vikings,@,Green Bay Packers,preview,,,,,,
17,Sun,2023-01-01,8:20 PM,Los Angeles Rams,@,Los Angeles Chargers,preview,,,,,,
17,Mon,2023-01-02,8:30 PM,Buffalo Bills,@,Cincinnati Bengals,preview,,,,,,
