Week,Day,Date,Time,home,away,home_score,away_score,GameTime,SearchStartTime,SearchEndTime
4,Thu,2022-09-29,8:15PM,bengals,dolphins,27,15,2022-09-30 01:15:00+00:00,2022-09-26 00:15:00+00:00,2022-09-30 00:15:00+00:00
4,Sun,2022-10-02,9:30AM,saints,vikings,25,28,2022-10-02 14:30:00+00:00,2022-09-28 13:30:00+00:00,2022-10-02 13:30:00+00:00
4,Sun,2022-10-02,1:00PM,falcons,browns,23,20,2022-10-02 18:00:00+00:00,2022-09-28 17:00:00+00:00,2022-10-02 17:00:00+00:00
4,Sun,2022-10-02,1:00PM,ravens,bills,20,23,2022-10-02 18:00:00+00:00,2022-09-28 17:00:00+00:00,2022-10-02 17:00:00+00:00
4,Sun,2022-10-02,1:00PM,giants,bears,20,12,2022-10-02 18:00:00+00:00,2022-09-28 17:00:00+00:00,2022-10-02 17:00:00+00:00
4,Sun,2022-10-02,1:00PM,colts,titans,17,24,2022-10-02 18:00:00+00:00,2022-09-28 17:00:00+00:00,2022-10-02 17:00:00+00:00
4,Sun,2022-10-02,1:00PM,cowboys,commanders,25,10,2022-10-02 18:00:00+00:00,2022-09-28 17:00:00+00:00,2022-10-02 17:00:00+00:00
4,Sun,2022-10-02,1:00PM,lions,seahawks,45,48,2022-10-02 18:00:00+00:00,2022-09-28 17:00:00+00:00,2022-10-02 17:00:00+00:00
4,Sun,2022-10-02,1:00PM,texans,chargers,24,34,2022-10-02 18:00:00+00:00,2022-09-28 17:00:00+00:00,2022-10-02 17:00:00+00:00
4,Sun,2022-10-02,1:00PM,eagles,jaguars,29,21,2022-10-02 18:00:00+00:00,2022-09-28 17:00:00+00:00,2022-10-02 17:00:00+00:00
4,Sun,2022-10-02,1:00PM,steelers,jets,20,24,2022-10-02 18:00:00+00:00,2022-09-28 17:00:00+00:00,2022-10-02 17:00:00+00:00
4,Sun,2022-10-02,4:05PM,panthers,cardinals,16,26,2022-10-02 21:05:00+00:00,2022-09-28 20:05:00+00:00,2022-10-02 20:05:00+00:00
4,Sun,2022-10-02,4:25PM,raiders,broncos,32,23,2022-10-02 21:25:00+00:00,2022-09-28 20:25:00+00:00,2022-10-02 20:25:00+00:00
4,Sun,2022-10-02,4:25PM,packers,patriots,27,24,2022-10-02 21:25:00+00:00,2022-09-28 20:25:00+00:00,2022-10-02 20:25:00+00:00
4,Sun,2022-10-02,8:20PM,buccaneers,chiefs,31,41,2022-10-03 01:20:00+00:00,2022-09-29 00:20:00+00:00,2022-10-03 00:20:00+00:00
4,Mon,2022-10-03,8:15PM,49ers,rams,24,9,2022-10-04 01:15:00+00:00,2022-09-30 00:15:00+00:00,2022-10-04 00:15:00+00:00
